iter	Passed	Remaining
0	161	161619
1	162	81189
2	163	54468
3	164	40961
4	165	32958
5	166	27621
6	167	23805
7	168	20946
8	170	18723
9	170	16897
10	171	15446
11	172	14237
12	174	13219
13	175	12339
14	176	11578
15	177	10913
16	178	10326
17	179	9786
18	180	9319
19	181	8897
20	182	8517
21	183	8170
22	184	7851
23	185	7560
24	186	7280
25	187	7015
26	187	6770
27	188	6560
28	190	6368
29	191	6186
30	192	6016
31	193	5856
32	194	5706
33	195	5563
34	196	5431
35	198	5302
36	199	5182
37	200	5069
38	201	4961
39	202	4859
40	202	4745
41	203	4652
42	204	4558
43	205	4462
44	205	4368
45	206	4292
46	208	4219
47	209	4148
48	210	4081
49	211	4017
50	212	3954
51	213	3894
52	214	3836
53	215	3781
54	217	3729
55	217	3668
56	218	3620
57	219	3572
58	221	3526
59	221	3473
60	222	3431
61	224	3389
62	224	3344
63	226	3305
64	227	3267
65	228	3231
66	229	3195
67	230	3161
68	231	3123
69	232	3091
70	233	3059
71	235	3029
72	235	2993
73	236	2964
74	238	2937
75	238	2901
76	239	2874
77	241	2848
78	241	2817
79	242	2793
80	244	2769
81	244	2739
82	245	2713
83	246	2692
84	247	2663
85	248	2643
86	249	2622
87	251	2602
88	252	2582
89	253	2563
90	254	2544
91	256	2526
92	256	2500
93	257	2478
94	258	2460
95	259	2444
96	260	2427
97	261	2411
98	263	2395
99	264	2380
100	265	2364
101	266	2348
102	268	2334
103	269	2319
104	270	2305
105	271	2291
106	272	2277
107	274	2263
108	274	2246
109	275	2230
110	277	2218
111	278	2206
112	279	2194
113	280	2182
114	282	2171
115	283	2160
116	284	2148
117	286	2138
118	287	2127
119	288	2116
120	289	2106
121	291	2095
122	292	2085
123	293	2075
124	295	2065
125	296	2054
126	297	2045
127	298	2035
128	299	2025
129	301	2016
130	302	2006
131	303	1997
132	304	1987
133	306	1978
134	307	1970
135	308	1961
136	310	1953
137	311	1945
138	312	1936
139	314	1929
140	315	1920
141	316	1910
142	317	1902
143	318	1895
144	320	1888
145	321	1880
146	322	1873
147	324	1866
148	325	1858
149	326	1851
150	327	1843
151	329	1836
152	330	1829
153	331	1822
154	333	1815
155	334	1808
156	335	1801
157	336	1795
158	338	1788
159	339	1781
160	340	1775
161	341	1768
162	343	1762
163	344	1756
164	345	1749
165	347	1743
166	348	1737
167	349	1730
168	350	1724
169	352	1719
170	353	1713
171	354	1705
172	355	1697
173	356	1692
174	357	1687
175	359	1682
176	360	1674
177	361	1668
178	362	1663
179	364	1658
180	365	1653
181	366	1648
182	368	1643
183	369	1637
184	370	1633
185	372	1628
186	373	1623
187	374	1618
188	375	1613
189	377	1608
190	378	1603
191	379	1598
192	380	1589
193	381	1585
194	382	1580
195	384	1575
196	385	1570
197	386	1566
198	387	1561
199	389	1556
200	390	1552
201	391	1547
202	393	1543
203	394	1538
204	395	1534
205	396	1529
206	398	1525
207	399	1521
208	400	1517
209	402	1512
210	403	1508
211	404	1503
212	405	1499
213	407	1495
214	408	1489
215	408	1482
216	409	1478
217	411	1475
