iter	Passed	Remaining
0	1	1616
1	3	1561
2	4	1531
3	5	1347
4	6	1366
5	8	1376
6	9	1395
7	11	1403
8	12	1409
9	14	1424
10	15	1427
11	17	1424
12	18	1372
13	19	1375
14	21	1381
15	22	1384
16	23	1372
17	25	1382
18	26	1371
19	28	1376
20	29	1379
21	30	1366
22	32	1368
23	33	1369
24	34	1338
25	35	1341
26	36	1313
27	37	1317
28	39	1319
29	40	1323
30	41	1310
31	43	1315
32	44	1293
33	45	1298
34	47	1302
35	48	1286
36	49	1289
37	50	1289
38	51	1271
39	52	1267
40	54	1269
41	55	1260
42	56	1252
43	56	1238
44	58	1236
45	59	1227
46	60	1231
47	62	1233
48	63	1223
49	64	1225
50	66	1228
51	66	1218
52	68	1220
53	69	1213
54	70	1214
55	72	1221
56	73	1218
57	74	1212
58	76	1215
59	77	1216
60	79	1218
61	80	1220
62	82	1221
63	83	1223
64	85	1225
65	86	1226
66	88	1228
67	89	1229
68	91	1230
69	92	1231
70	94	1232
71	95	1233
72	96	1229
73	98	1230
74	99	1231
75	101	1232
76	102	1233
77	104	1229
78	105	1224
79	106	1225
80	108	1226
81	109	1222
82	110	1223
83	111	1219
84	113	1221
85	115	1222
86	116	1222
87	117	1217
88	119	1218
89	120	1218
90	121	1218
91	123	1218
92	124	1212
93	125	1213
94	127	1212
95	128	1212
96	129	1206
97	131	1206
98	132	1206
99	134	1206
100	135	1206
101	136	1205
102	138	1205
103	139	1205
104	141	1205
105	142	1202
106	143	1196
107	144	1196
108	146	1194
109	147	1193
110	149	1193
111	150	1193
112	151	1192
113	153	1192
114	154	1192
115	156	1192
116	158	1193
117	159	1193
118	161	1192
119	162	1188
120	163	1188
121	164	1182
122	166	1185
123	168	1187
124	169	1183
125	170	1183
126	171	1179
127	172	1173
128	173	1174
129	175	1174
130	177	1174
131	178	1174
132	180	1174
133	181	1175
134	184	1180
135	186	1184
136	188	1184
137	189	1183
138	191	1183
139	192	1183
140	194	1182
141	195	1182
142	197	1182
143	198	1182
144	200	1182
145	202	1184
146	203	1180
147	205	1183
148	207	1186
149	208	1184
150	210	1182
151	211	1181
152	213	1180
153	214	1180
154	216	1179
155	217	1178
156	218	1173
157	219	1172
158	221	1169
159	222	1168
160	223	1165
161	225	1164
162	226	1162
163	227	1161
164	229	1161
165	230	1160
166	232	1159
167	233	1156
168	235	1155
169	236	1154
170	237	1153
171	238	1149
172	240	1148
173	241	1147
174	242	1144
175	244	1143
176	245	1142
177	247	1141
178	248	1139
179	249	1138
180	251	1136
181	252	1136
182	254	1134
183	255	1133
184	257	1132
185	258	1132
186	260	1131
187	261	1130
188	263	1129
189	264	1128
190	265	1125
191	267	1124
192	268	1123
193	270	1122
