iter	Passed	Remaining
0	139	13771
1	142	6994
2	146	4735
3	151	3627
4	155	2954
5	159	2492
6	162	2162
7	167	1930
8	171	1737
9	175	1579
10	179	1450
11	184	1349
12	187	1256
13	191	1177
14	196	1115
15	201	1058
16	205	1003
17	210	957
18	217	929
19	222	888
20	226	852
21	231	821
22	235	789
23	241	763
24	246	739
25	250	714
26	255	691
27	259	667
28	264	647
29	269	627
30	273	609
31	278	592
32	283	575
33	288	559
34	292	543
35	296	527
36	301	513
37	305	498
38	310	485
39	314	471
40	319	459
41	323	447
42	327	434
43	332	422
44	336	411
45	340	399
46	345	389
47	349	379
48	354	368
49	359	359
50	363	349
51	367	339
52	372	330
53	376	320
54	380	311
55	384	302
56	389	294
57	393	285
58	397	276
59	402	268
60	406	259
61	410	251
62	415	243
63	419	235
64	424	228
65	428	220
66	432	213
67	437	205
68	441	198
69	446	191
70	450	184
71	455	177
72	459	170
73	463	163
74	468	156
75	473	149
76	477	142
77	484	136
78	489	130
79	494	123
80	499	117
81	503	110
82	508	104
83	513	97
84	518	91
85	521	84
86	526	78
87	530	72
88	535	66
89	539	59
90	543	53
91	547	47
92	551	41
93	555	35
94	559	29
95	563	23
96	568	17
97	572	11
98	576	5
99	580	0
